"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Search results should show the search term in the title","SUCCESS","2018-11-14T07:27:47.23+07:00[Asia/Bangkok]","0.0","14.87"
"Search by keyword story","Switch flight booking should show the booking form","SUCCESS","2018-11-14T17:28:20.257+07:00[Asia/Bangkok]","0.0","14.69"
